State_Name,SL_No,District_Name,Total_Projects_Outlay,ApprShare_Center,ApprShare_State,ApprShare_Beneficiary,Rof_Center,Rof_State,Rof_Beneficiary,Rof_Total,ExpReported_Center,ExpReported_State,ExpReported_Beneficiary,ExpReported_Total,PO_IHHL_BPL,PO_IHHL_APL,PO_IHHL_TOTAL,PO_SCW,PO_School_Toilets,PO_Anganwadi_Toilets,PO_RSM,PO_PC,PP_IHHL_BPL,PP_IHHL_APL,PP_IHHL_TOTAL,PP_SCW,PP_School_Toilets,PP_Anganwadi_Toilets,PP_RSM,PP_PC,BPL_Appr.(C+S+B),BPL_Exp.(C+S+B),BPL_(%)_age,School_Appr.(C+S+B),School_Exp.(C+S+B),School_(%)_age,Anganwadi_Appr.(C+S+B),Anganwadi_Exp.(C+S+B),Anganwadi_(%)_age,Sanitary_Complex_Appr.(C+S+B),Sanitary_Complex_Exp.(C+S+B),Sanitary_Complex_(%)_age,IHHL_BPL_Ach_SC,IHHL_BPL_Ach_ST,IHHL_BPL_Ach_General,IHHL_BPL_Ach_PH,IHHL_BPL_Ach_%_SC_ST,IHHL_APL_Ach_SC,IHHL_APL_Ach_ST,IHHL_APL_Ach_Small_Marginal_Farmers,IHHL_APL_Ach_Landless_Labourers,IHHL_APL_Ach_PH,IHHL_APL_Ach_Women_Headed_Households,Rural_Households,Census_2001_IHHL
MADHYA PRADESH,26,KHARGONE,4387.93,2957.07,1056.43,374.43,4868.59,1243.99,179.65,6292.23,3023.14,1208.89,190.56,4422.59,91083,152741,243824,50,3498,687,9,1,99868,163321,263189,31,3498,687,4,0,2259.09,2784.33,100.00,811.36,719.61,88.69,39.02,25.75,65.99,75.00,86.83,100.00,24647,37009,29262,0,61.74,70,249,316,67,6,19,309603,4496
MADHYA PRADESH,27,MANDLA,3998.87,2700.71,964.26,333.90,3969.50,1028.45,550.80,5548.76,2490.62,871.90,485.97,3848.49,98650,73826,172476,0,3064,176,10,0,90892,45686,136578,2,2105,406,3,0,2295.32,3118.07,100.00,695.98,343.63,49.37,15.80,26.52,100.00,0.00,0.00,0.00,5233,58251,27408,0,69.85,708,3667,825,369,9,178,220889,10002
MADHYA PRADESH,28,MANDSAUR,1734.39,1155.05,398.09,181.25,2108.43,513.68,217.94,2840.05,1609.92,533.19,215.28,2358.39,46666,119498,166164,50,1092,341,10,0,72384,121594,193978,48,1668,430,10,0,824.86,1567.81,100.00,228.90,459.37,100.00,17.06,17.04,99.88,100.00,69.26,69.26,13986,2255,53056,0,22.44,598,33,1042,184,11,50,229006,16744
MADHYA PRADESH,29,MORENA,1740.90,1186.46,430.34,124.10,2924.20,809.35,241.71,3975.25,1897.60,738.19,239.78,2875.57,32478,169027,201505,50,2151,142,6,1,42354,106070,148424,41,3094,145,7,0,548.90,1664.28,100.00,592.50,858.22,100.00,8.31,8.80,100.00,100.00,81.30,81.30,16927,3041,22356,0,47.15,1713,8,7953,475,41,204,286015,13468
MADHYA PRADESH,30,NARSINGHPUR,2552.66,1706.49,599.10,247.07,3010.76,710.19,347.76,4068.71,2401.68,723.84,331.93,3457.45,67857,58600,126457,78,1720,913,6,0,72975,60805,133780,55,2207,913,6,0,1261.73,2460.60,100.00,355.56,421.58,100.00,50.82,17.92,35.26,117.00,95.34,81.49,14378,13723,44874,0,38.51,403,218,3378,1448,26,158,204994,32783
MADHYA PRADESH,31,NEEMUCH,1512.54,1031.75,364.06,116.73,1548.11,415.74,97.93,2061.78,1225.30,389.59,61.90,1676.78,27790,86180,113970,39,1412,103,9,1,47065,89218,136283,33,1697,165,2,1,583.97,1105.58,100.00,355.90,369.69,100.00,5.17,6.74,100.00,58.50,50.12,85.68,9788,9057,28014,0,40.04,497,360,4800,515,44,177,129968,8478
MADHYA PRADESH,32,PANNA,6268.42,4326.60,1643.45,298.37,3693.01,1226.97,490.77,5410.75,2767.21,1047.75,484.47,4299.43,72600,186451,259051,15,9254,117,9,1,62875,51861,114736,10,2782,117,4,0,1828.92,3339.58,100.00,3088.90,722.56,23.39,7.28,5.56,76.37,22.50,27.55,100.00,13933,11276,37665,0,40.09,2,0,35,0,0,0,209035,8454
MADHYA PRADESH,33,RAISEN,3499.88,2338.82,842.56,318.50,3423.53,926.51,844.27,5194.31,2613.79,944.09,431.92,3989.81,88825,86117,174942,27,3000,869,10,0,114940,86711,201651,36,3274,876,10,0,1888.94,2771.97,100.00,680.40,602.02,88.48,43.46,7.05,16.22,40.50,67.31,100.00,25350,17921,71669,0,37.65,235,51,338,37,11,15,214616,26762
MADHYA PRADESH,34,RAJGARH,3854.44,2598.48,899.33,356.63,3687.53,1019.10,4151.15,8857.78,2833.24,1048.88,345.23,4227.35,94365,80166,174531,44,3206,244,10,0,126096,69059,195155,43,3626,244,33,0,1861.30,2944.56,100.00,683.66,756.57,100.00,12.20,26.43,100.00,66.00,51.80,78.48,35909,10598,79589,0,36.88,67,14,316,25,1,6,289795,13717
MADHYA PRADESH,35,RATLAM,2002.65,1344.58,458.73,199.34,2351.59,553.29,331.54,3236.42,2080.00,549.33,333.58,2962.91,51248,88719,139967,24,1392,158,5,1,71890,89602,161492,10,2029,158,11,2,1013.04,2330.80,100.00,280.50,216.96,77.35,8.41,7.59,90.25,48.00,22.04,45.92,16994,32046,22843,7,68.22,40,70,343,44,1,7,211063,14035
MADHYA PRADESH,36,REWA,7676.61,4560.04,2090.66,1025.91,5114.93,2073.26,1073.83,8262.02,4785.06,1970.08,1082.59,7837.73,121538,197742,319280,9,8902,2153,10,0,153548,129246,282794,18,6928,211,9,0,2882.54,5932.11,100.00,2571.50,1046.37,40.69,171.05,59.75,34.93,13.52,53.27,100.00,30832,25514,97202,127,36.70,2383,1555,867,2,0,21,467403,13878
MADHYA PRADESH,37,SAGAR,9087.00,5631.34,2370.70,1084.96,6257.53,2098.93,793.17,9149.63,4393.65,1655.71,459.13,6508.49,208079,137113,345192,22,3749,139,10,1,139010,100291,239301,22,5317,302,10,2,5872.94,4581.88,78.02,769.46,1096.10,100.00,6.96,9.25,100.00,43.00,44.95,100.00,44619,23958,70433,13,49.33,24,19,114,45,0,9,376804,20136
MADHYA PRADESH,38,SATNA,9696.16,5725.11,2541.41,1429.64,6951.71,2638.07,558.41,10148.19,6035.21,2125.53,507.94,8668.68,225199,119149,344348,66,3358,1845,7,1,179674,104625,284299,46,4966,1845,5,0,6720.16,7258.86,100.00,671.60,677.27,100.00,92.26,2.50,2.71,124.00,71.42,57.60,61638,47234,70802,5,60.59,24,2,160,20,2,11,390426,13941
